"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-06","2023","03","06","","3.2","","-4.3","","-0.6","","18.6","","0.0","","0.0","","0.0","","0.0","","15","","1","","31",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-07","2023","03","07","","1.8","","-2.8","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","11","","1","","67",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-08","2023","03","08","","0.9","","-3.2","","-1.2","","19.2","","0.0","","0.0","","0.0","","0.0","","9","","35","","53",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-09","2023","03","09","","2.8","","-3.8","","-0.5","","18.5","","0.0","","0.0","","0.0","","0.0","","7","","36","","37",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-10","2023","03","10","","0.0","","-2.5","","-1.3","","19.3","","0.0","","0.0","","9.6","","7.2","","5","","1","","47",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-11","2023","03","11","","-0.6","","-5.5","","-3.1","","21.1","","0.0","","0.0","","0.4","","0.4","","14","","36","","34",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-12","2023","03","12","","-0.2","","-5.5","","-2.9","","20.9","","0.0","","0.0","","4.4","","3.0","","10","","","M","","M"
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-13","2023","03","13","","0.8","","-3.5","","-1.4","","19.4","","0.0","","0.0","","2.2","","2.2","","15","","32","","38",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-14","2023","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-15","2023","03","15","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-16","2023","03","16","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-17","2023","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-18","2023","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-19","2023","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-20","2023","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-21","2023","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-22","2023","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-23","2023","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-24","2023","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-25","2023","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-26","2023","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-27","2023","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-28","2023","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-29","2023","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-30","2023","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-03-31","2023","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-01","2023","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-02","2023","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-03","2023","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-04","2023","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-05","2023","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-06","2023","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-07","2023","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-08","2023","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-09","2023","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-10","2023","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-11","2023","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-12","2023","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-13","2023","04","13","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-14","2023","04","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-15","2023","04","15","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-16","2023","04","16","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-17","2023","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-18","2023","04","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-19","2023","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-20","2023","04","20","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-21","2023","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-22","2023","04","22","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-23","2023","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-24","2023","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-25","2023","04","25","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-26","2023","04","26","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-27","2023","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-28","2023","04","28","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-29","2023","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-04-30","2023","04","30","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-01","2023","05","01","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-02","2023","05","02","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-03","2023","05","03","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-04","2023","05","04","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-05","2023","05","05","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-06","2023","05","06","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-07","2023","05","07","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-08","2023","05","08","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-09","2023","05","09","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-10","2023","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-11","2023","05","11","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-12","2023","05","12","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-13","2023","05","13","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-14","2023","05","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-15","2023","05","15","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-16","2023","05","16","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-17","2023","05","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-18","2023","05","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-19","2023","05","19","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-20","2023","05","20","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-21","2023","05","21","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-22","2023","05","22","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-23","2023","05","23","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-24","2023","05","24","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-25","2023","05","25","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-26","2023","05","26","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-27","2023","05","27","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-28","2023","05","28","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-29","2023","05","29","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-30","2023","05","30","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-05-31","2023","05","31","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-01","2023","06","01","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-02","2023","06","02","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-03","2023","06","03","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-04","2023","06","04","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-05","2023","06","05","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-06","2023","06","06","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-07","2023","06","07","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-08","2023","06","08","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-09","2023","06","09","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-10","2023","06","10","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-11","2023","06","11","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-12","2023","06","12","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-13","2023","06","13","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-14","2023","06","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-15","2023","06","15","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-16","2023","06","16","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-17","2023","06","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-18","2023","06","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.63","43.68","TORONTO INTL A","6158731","2023-06-19","2023","06","19","","","","","","","","","","","","","","","","","","","","","","",""
